global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13
1739.0760793615411	n/a	n/a	3024385.609807509	2008.4159242983217	n/a	4033734.524975082	n/a	1791.1773283585258	n/a	n/a	3208316.221625586	1844.7890399341848	1246.4448262325172	n/a	n/a	n/a	n/a	0.0052824452	-0.028820535	0.0696368518	-0.0443499883	-0.0940106888	0.0049992036	-0.0639007454	0.1166726551	-0.0421489726	-0.1955630926	-0.0314579881	0.0362751816	-0.0673164091	-0.0975714916	0.0213942696	-0.1080130472	0.0173094916	-0.030525232	0.0060664778	-0.0706641422	0.0819946827	-0.0047968674	0.1904351232	-0.0629362549	0.0170530396	-0.0336761726	0.1353471565	0.1025633011	-0.0604560961	0.0122121583	-0.0359219897	0.0728734673	-0.0064184707	0.213121281	-0.0761870341	0.016330095	-0.0617999282	0.0914953095	-0.0113898303	0.0128621469	-0.0246977797	-0.005900881	0.0546587711	-0.0103884591	0.0665663681	-0.0699881466	0.1796064026	-0.0518926327	0.0865178455	-0.0096422269	0.054958661	-0.0358798587	0.0522457209	-0.0481752452	-0.0152751479	0.0498434442	-0.0052595825	0.0265602119	-0.0987185404	0.1290883846	0.1290552057	0.1289999139	0.1289225186	-0.0105545788926804	n/a	n/a	0.0001113991356018	0.0001500142572155	n/a	2.2504277367918197e-08	n/a	0.0001630181659777	n/a	n/a	2.6574922438732944e-08	-0.0006119135074586	n/a	3.7443814061028617e-07	n/a	0.0012210440664954	n/a	n/a	1.4909486123236228e-06	-0.0001416265486217	n/a	2.0058079274494756e-08	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1732.8687691020966	-6.207310259444512	38.53070065700509	3002834.170929416	1983.35952939634	-25.056394901981776	3933715.022847271	627.8229254840583	1785.5905310589335	-5.586797299592263	31.2123040667314	3188333.544607324	1836.3161596020625	1202.0709079038431	0.8416759999999999	13.989242	0.0762185948581992	0.0357293002090525	0.027664094	0.0834874819	0.1033041754	0.0562327803	0.0374279527	0.0377386943	0.0089504137	0.0555452278	-0.0799168833	-0.0940086547	0.0163152995	0.0361685835	-0.0812780884	0.0233479538	-0.0824189037	-0.1296063689	0.1154159859	0.107185097	0.0114815406	-0.0165601519	-0.0600110955	0.02511269	0.0795940283	-0.0529036541	0.0424480596	0.0131568747	0.0768159612	0.1722909999	-0.0581529372	0.0191015962	-0.117080909	0.0319982281	-0.0519337008	-0.062941493	-0.0140962493	0.0085235748	-0.0424930422	0.0832441023	0.0180338915	0.0004512224	-0.0186163273	-0.0668242408	0.1038418244	-0.0308883105	0.0835040378	0.0190043352	0.1893052656	-0.0460610416	0.0512385991	-0.0634861176	0.0516317953	-0.0330442489	0.098783724	-0.0353118674	0.0362155151	0.0929979659	-0.0003206856	0.0179680029	-0.1263344358	0.1289999139	0.1287014744	0.1282045865	0.1275100165	-0.0235227276575642	-0.0129681487648838	0.0001681728823881	0.0005533187164519	-0.0285777982799686	-0.028727812537184	0.0008166905545305	0.0008252872131715	-0.0076432866270437	-0.0078063047930214	6.0938394521548885e-05	5.841983046314506e-05	-0.0008388657928521	-0.0002269522853934	7.036958184173824e-07	5.150733984533265e-08	0.0010331096530544	-0.000187934413441	3.5319343755412735e-08	1.0673155552341827e-06	-0.0002610664250494	-0.0001194398764276	6.815567828807397e-08	1.4265884081064244e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1736.9227941574866	4.054025055389957	16.43511914972954	3016900.7928638505	1979.0064706307871	-4.35305876555276	3916466.6107985247	18.94912061635572	1787.306991952128	1.7164608931946077	2.9462379978664304	3194466.2834809646	1836.749500973124	1225.0100816718498	0.927376	15.413644	0.1764298059593182	0.0925865894396478	-0.0356363656	0.0707966558	-0.0458373589	0.1071059651	0.059834724	0.0755442605	-0.0278333085	0.0552388488	-0.0123858097	-0.1178671033	0.0132415831	0.0118397129	0.0250173132	0.1644754925	-0.1432102535	-0.1271456227	0.0756846303	0.053251968	0.00417179	0.0619379622	-0.0853900761	-0.04719772	0.0945908147	-0.0895899945	0.0049023406	0.0468961948	-0.0927124071	0.108179948	-0.2115301126	-0.0137223442	-0.0664413629	0.0206946986	-0.090474534	-0.1575309311	0.0388844272	0.0029558677	-0.0363631549	0.1358602394	0.0409687874	0.0716219449	-0.0939106448	-0.0609927746	0.1462914958	0.0047791824	0.1276668215	0.0543458932	0.0702727703	-0.167421045	0.0855426221	-0.0289158184	-0.0299006306	0.0311791218	0.1329355264	-0.0171060632	0.0888232912	-0.0365748468	0.0130649986	0.0292636144	-0.08020566	0.1288230331	0.1279949812	0.1266188352	0.124700488	-0.0599262021017352	-0.036403474444171	0.0013252129516074	0.003591149698338	-0.0204226339781001	0.0081551643018684	0.0004170839786034	6.650670479047032e-05	-0.0217759762570324	-0.0141326896299887	0.0001997329161775	0.0004741931419468	-0.0024600748245081	-0.0016212090316559	6.0519681421785584e-06	2.6283187243229847e-06	0.0014038771709163	0.0003707675178619	1.3746855230147434e-07	1.970871111019954e-06	0.0001017265770985	0.0003627930021479	1.0348296488177066e-08	1.3161876240748618e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1739.8039850533469	2.8811908958603	8.301260978388278	3026917.9064075067	2004.075590910735	25.06912027994781	4016318.974084212	628.4607916104906	1788.9637527321595	1.6567607800313908	2.7448562822502227	3200391.308589531	1839.301927163568	1260.0823960365656	1.141356	18.970129	0.3772823471923761	0.1846299135248393	-0.046049539	-0.1178951964	-0.1517562473	0.0640478797	-0.1275912902	-0.0980884839	-0.0622706043	0.1321846409	0.0973026821	-0.1281417653	-0.0343121628	-0.0629405003	-0.1041553255	0.1352482331	-0.1330884142	0.0709924832	-0.0029451588	-0.055793391	-0.0375386413	0.0700786451	-0.0494065325	-0.0211565202	0.1416488001	0.0924074577	0.0011792574	0.0320073787	-0.0814813537	-0.0283204285	-0.1231853626	0.0686483209	-0.1249530127	-0.1271922008	0.0033264128	-0.0138562728	0.0208867656	0.070542367	-0.0062119934	0.1351925761	0.032210864	0.1892689597	0.0216751572	-0.024201497	0.0053952278	-0.0724341838	0.1572147743	-0.0839082788	-0.0782278947	-0.0316983367	0.1538364741	0.0274581186	0.0651002858	0.1501157452	-0.1086134177	-0.0908590296	-0.0408369342	0.0266575667	0.066675618	-0.0067349478	0.2426568167	0.1285578634	0.1269376627	0.1242524367	0.1205247148	0.0255445218387535	0.0854707239404887	0.0073052446509112	0.0006525225959705	-0.0731994304826173	-0.0527767965045172	0.0053581566229795	0.0027853902492792	0.1135742340093628	0.1353502102663952	0.0183196794191573	0.0128991066308135	-0.0024639637778529	-3.888953344800307e-06	6.071117498571136e-06	1.5123958118033496e-11	-0.000119299510229	-0.0015231766811452	2.3200672019848104e-06	1.4232373140879277e-08	0.0006483532722279	0.0005466266951294	4.203619656086255e-07	2.988007438280901e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1734.908158219669	-4.895826833677802	23.969120385359613	3009906.317457164	1989.839537669994	-14.236053240741056	3959461.385674735	202.665211873214	1784.8039519629092	-4.159800769250296	17.303942439855355	3185525.1469424185	1836.4379131335047	1255.2241794929996	0.947158	15.742419	0.133458836573841	0.0607989409059027	0.0281504726	-0.1215619112	-0.0101178609	-0.0645463446	-0.0634972922	-0.1063809117	-0.0087870226	-0.1091137419	0.0316186885	-0.0276477975	0.000710005	-0.131120802	-0.1770077328	-0.0324631888	-0.1611421374	0.1804466324	0.007563137	0.0261475525	-0.0569238543	0.0050578609	-0.0044503369	0.1289323863	0.0490009555	0.0850555322	0.0411971144	-0.0706071071	-0.02766375	-0.1540707773	0.0021946544	0.1312026814	-0.1543562394	-0.1302646424	0.1232716299	-0.0292518786	0.0706316784	0.0998273565	-0.0005728361	0.0846957043	0.0505305895	0.0787864228	0.0587103412	0.0726825956	-0.0039312012	-0.0890060039	0.0220509943	-0.0977748297	-0.0670865862	-0.0085554674	0.1341298951	0.0336267438	0.0061083485	0.1585197902	0.0027151351	-0.0365182501	0.0121064369	-0.0277659009	0.0329095533	0.0824730544	0.1605756003	0.1282045865	0.1255324169	0.1211199807	0.1150284477	-0.0169503458384809	-0.0424948676772344	0.0018058137789056	0.0002873142240441	-0.0896657492084358	-0.0164663187258184	0.0080399465811101	0.0002711396523802	0.1262501916536109	0.0126759576442481	0.0001606799021987	0.0159391108925734	-0.0019500532651623	0.0005139105126906	3.802707736970148e-06	2.641040150539154e-07	0.0003001634138064	0.0004194629240354	1.7594914464032777e-07	9.009807498791212e-08	0.0003452928584231	-0.0003030604138048	1.1922715807799498e-07	9.184561441553663e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1737.2798651329642	2.3717069132951565	5.624993682572039	3018141.32979641	1989.3304190176505	-0.5091186523434317	3957435.5160289407	0.259201802163992	1786.723701001115	1.9197490382057367	3.685436369691851	3192381.5837191218	1837.2467787478447	1235.0260573456728	0.8891329999999998	14.778015	0.2703937600313341	0.1758355813585703	-0.0215773964	0.0024690846	0.0591155099	-0.0978940256	-0.0530239092	0.0049480537	0.0345578494	-0.1010557525	-0.0291573981	-0.0530036671	-0.0177459623	-0.0283960252	0.0882068677	-0.0891128874	0.1195802183	-0.0535785867	-0.039935476	-0.0656327151	0.0793342935	0.074813077	0.02363004	-0.08515729	0.0490512921	-0.0334262362	-0.0230267471	-0.0848962355	0.0143504229	-0.0672897539	0.0173766901	-0.0675692774	0.089192287	0.0670267317	-0.0703147885	0.0081672332	-0.0658624256	-0.0146992763	-0.0274433455	0.0650777595	0.033648082	0.0023534299	-0.0135775828	0.0489643703	0.0267928826	0.0489298573	-0.052604844	-0.046963672	0.0642242932	0.0391536126	0.0683212379	-0.0116201991	-0.0135662529	-0.00024079	0.1362162444	-0.0914817814	-0.0089816424	-0.0290155789	-0.0194337254	-0.0099763977	-0.037305516	0.1277634447	0.1237830955	0.1172407796	0.1082719048	-0.0169408406790267	9.505159454199774e-06	9.034805624976335e-11	0.0002869920829121	-0.0376946748241948	0.051971074384241	0.0014208885101017	0.0027009925726523	-0.036613003374768	-0.1628631950283789	0.0265244202948517	0.0013405120161207	-0.0018538961236197	9.615714154260004e-05	3.43693083717215e-06	9.246195869643621e-09	0.000640306347118	0.0003401429333116	1.1569721508181959e-07	4.099922181595968e-07	-0.0003294067759079	-0.000674699634331	1.0850882401403747e-07	4.5521959656638514e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1736.304007564512	-0.975857568452284	0.952297993905604	3014751.6066845846	1991.812814896195	2.482395878544594	3967318.289584704	6.162289297815186	1784.7631994005862	-1.960501600528687	3.843566525675544	3185379.677934617	1835.428410561432	1216.096962016028	0.978917	16.270283	0.3824284702664222	0.200793148957863	0.0218177072	-0.0036932634	0.1456063951	0.0912753747	-0.0362169907	-0.0118172848	0.0583108739	-0.0150701059	-0.1243493181	-0.0226179305	0.037279425	-0.0503246746	0.014651891	0.026786359	0.0320761054	0.0492763961	0.0635557919	-0.0713180633	-0.0114043414	-0.0784120159	0.127500091	0.1153007476	0.0182653362	0.0213612212	0.0525995894	-0.0556600208	-0.0040255245	0.0889309994	0.028069828	-0.0608488129	0.0572354909	-0.1027777846	0.1266196674	0.0078883086	-0.0743879101	0.0856074231	-0.0120365287	-0.0232537148	0.0067844853	0.06263739	-0.0408813451	-0.0179618224	-0.0759012723	-0.2019699985	-0.0591795372	0.0664025626	-0.0320321802	0.0929248745	0.0411698138	-0.0818125064	0.0337969215	0.0608236002	-0.0361726168	-0.0728670032	-0.142330927	-0.0115044881	0.1119812644	0.1051115047	0.096326229	0.1272347401	0.1216944932	0.1126387502	0.1003291122	0.0121688627246783	0.029109703403705	0.0008473748322516	0.000148081220012	0.0383803094390202	0.0760749842632149	0.0014730481526349	0.0057874032306484	0.1333693406172642	0.1699823439920322	0.0288939972690255	0.0177873810166838	-0.0020473808450661	-0.0001934847214464	4.191768324743578e-06	3.7436337433191036e-08	-0.000476018333702	-0.00111632468082	1.2461807930078746e-06	2.265934540204286e-07	0.0005060125939751	0.000835419369883	2.560487452614094e-07	6.97925523575709e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1736.0556961580817	-0.2483114064302753	0.0616585545633814	3013889.3801629217	1998.2017363371672	6.388921440972126	3992810.1791008697	40.81831717891335	1785.2277477819662	0.4645483813799274	0.2158051986427104	3187038.111450671	1836.786992247676	1218.6730475364325	0.8984499999999999	14.93287	0.2694153214245347	0.1367067631911922	-0.025504209	0.0221963002	-0.0136270395	0.129833856	-0.0455776761	0.0782052935	-0.0180512411	0.0475091049	-0.1344189022	-0.0746347268	0.0917812675	0.023011527	0.0532066256	0.0044162647	0.0728007153	0.0394038461	0.0359120333	-0.1974329106	0.0827464297	-0.0013330124	-0.0189032352	0.0483838285	0.0749435024	-0.0202093892	0.0535622872	0.0485160319	-0.0347419437	-0.0291764369	-0.0159882195	-0.1682810073	0.0912021077	0.0096811962	0.1205829729	0.020207566	-0.1003557257	0.0375076799	0.0058123176	0.0076389373	-0.0050522316	-0.0316469892	-0.007349855	0.0200361025	0.0172591807	-0.0897404225	-0.1255651931	0.1542379303	-0.110196705	-0.117064598	0.0474793304	-0.0953303156	0.0291687195	0.0144176472	0.0351792669	0.0333152456	-0.0399274448	-0.0372163336	0.0083590005	0.0306701763	-0.0318283261	0.1266188352	0.1192723348	0.1073422654	0.0912870929	-0.0252757902247822	-0.0374446529494605	0.0014021020345055	0.0006388655714871	0.0284460849063492	-0.0099342245326709	0.0008091797464992	9.868881706552228e-05	0.030244018773601	-0.1031253218436631	0.0106348320053591	0.0009147006715779	-0.0012579698342987	0.0007894110107674	1.5824881040054989e-06	6.231697439208082e-07	0.0004785812180567	0.0009545995517586	9.112603042179108e-07	2.2903998227663461e-07	-0.0001281992854736	-0.0006342118794487	1.643505679594159e-08	4.022247080338525e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1733.104196537682	-2.9514996203997725	8.711350009220002	3003650.156056524	1987.278497766565	-10.92323857060228	3949275.827685335	119.31714087029331	1780.1007227762434	-5.127025005722771	26.286385409306583	3168758.5832285043	1832.7339859366973	1256.4268700595578	1.091154	18.135738	0.2706426814700863	0.1380774491091747	-0.0290227779	-0.0407805214	-0.1515051479	0.059160497	0.0829270619	0.1120407134	-0.1205782756	0.0482732858	0.1042130413	0.056613231	0.0168003459	0.1138972598	0.0887612622	0.0375830072	-0.0286822439	-0.0923834039	-0.0124798782	-0.1702616041	0.0096741818	0.0812853134	-0.1691071942	0.094495181	-0.0605109563	-0.1046225888	-0.0458135533	0.1418562131	-0.0955131583	-0.0806294835	-0.0163397	-0.06373316	0.0205718435	0.0894161899	0.0731485208	0.0322895782	0.0400542809	-0.0305033897	-0.0705839981	-0.0883688671	-0.0296669062	-0.0227631533	-0.0903340968	-0.0708463834	-0.0854966156	-0.0077695346	-0.0721339295	-0.0429760259	-0.0799496257	-0.1304757475	-0.0180890639	-0.03817666	-0.1313559885	-0.158942755	-0.0129299693	0.041775251	-0.2366334055	-0.0936746848	0.0750075176	-0.0417407708	-0.0074176912	0.1259161521	0.1165232592	0.1013839798	0.0812449131	0.0147194673663193	0.0399952575911015	0.0015996206297785	0.0002166627195481	0.1069040428740208	0.0784579579676716	0.0114284743828104	0.0061556511684569	-0.0610091371941621	-0.0912531559677631	0.0083271384740768	0.003722114821176	-0.0005170314489841	0.0007409383853146	2.673215192385981e-07	5.489896908326066e-07	0.0007429776655609	0.0002643964475042	6.990548145284123e-08	5.520158115223246e-07	8.519208057860124e-05	0.0002133913660522	7.2576905933108875e-09	4.5535875105624553e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1730.874503723787	-2.2296928138948715	4.97153004433443	2995926.547641066	1974.1729216399017	-13.105576126663207	3897358.724536225	171.75612561176465	1781.2743984864203	1.1736757101768944	1.3775146726592375	3172938.4827031586	1831.0815691164405	1239.1198482267846	0.93975	15.619295	0.1316663925920714	0.065873670511789	0.0285773046	-0.0873393589	-0.0884375191	-0.0484030617	-0.0254500924	-0.1044911287	0.1546051284	0.0151635156	0.1099734485	0.0674534086	-0.016037624	-0.0273844274	0.0164388222	-0.0461010993	0.0108356246	0.0437410486	-0.0413906398	0.0576762686	0.0202424639	0.0259007612	-0.0641311423	0.139342753	-0.0700720528	0.0600477147	-0.0248459002	-0.03346677	0.0190386486	-0.0898758093	-0.0099000711	-0.0236264081	0.0691231799	0.0108928405	-0.0561984191	-0.1784857019	0.046282072	-0.0030325852	-0.0300742017	-0.0470242155	-0.057809978	-0.0282763494	-0.0574685847	-0.0214875593	-0.0576663389	0.0035905031	-0.0433958891	-0.069615982	-0.0475990807	-0.0754559516	0.0915807358	0.0350342898	-0.0410424392	0.0411966933	0.0111905284	0.1508828362	-0.1078222725	-0.1031091584	-0.0712823418	0.0192806635	-0.1298687352	0.1251271724	0.1134548014	0.0948006283	0.0703125971	-0.0205766342426585	-0.0352961016089778	0.0012458147887912	0.0004233978767561	0.0877019385312252	-0.0192021043427956	0.0076916300221348	0.0003687208111916	-0.0250765360886759	0.0359326011054862	0.0012911518222059	0.0006288326622066	-0.0004290006501988	8.803079878530007e-05	1.8404155787099316e-07	7.749421534777987e-09	1.948455620670586e-05	-0.0007234931093541	5.234422792829999e-07	3.7964793057227985e-10	7.200427802185971e-05	-1.318780255674153e-05	5.184616053449269e-09	1.7391813627559842e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
