global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04
1739.7751296281708	n/a	n/a	3026817.5016727187	2200.569686064849	n/a	n/a	4842506.943227548	1843.8301439936856	n/a	n/a	3399709.599899776	1908.2145020690143	1500.6440388987078	n/a	n/a	n/a	n/a	-0.0736195512	-0.1025990958	0.0081540542	-0.1055519225	-0.1020571149	0.1033725091	-0.0694505221	0.056340754	-0.1692659366	-0.1133660828	0.0222667978	-0.0171542974	0.0153073249	-0.0466690084	0.1063333431	-0.0261938139	0.1293946432	-0.1646159805	0.0351807008	-0.101022391	0.0547344201	-0.0100384912	0.0611915557	-0.0433927913	0.1260074644	-0.0047098652	0.0081981003	-0.0310445626	0.0792821562	-0.0853446029	0.0904775387	-0.017053288	0.1680055622	-0.0602090582	0.082031179	-0.0666312624	0.008643877	-0.0656730085	-0.0055241759	0.0436828301	-0.0371815295	0.020921263	-0.0105740617	0.1225412034	0.0931151385	-0.0453263537	0.0078950441	-0.1403967002	0.1026222619	-0.0919733055	0.0218995043	-0.1787877439	0.0079081571	-0.0655214517	0.1172288103	-0.1153563114	0.1473791663	-0.0063549904	0.009555392	-0.1593454214	0.0093586743	-0.1020826084	0.1290883846	0.1290552057	0.1289999139	0.1289225186	-0.0182485821092228	n/a	n/a	0.000333010748997	-0.0283060632564229	n/a	0.0008012332170766	n/a	-0.0407137243066983	n/a	0.0016576073469218	n/a	8.499225060325995e-05	n/a	n/a	7.22368266260734e-09	-5.401219755585274e-05	n/a	n/a	2.917317484812464e-09	-0.000286997700111	n/a	n/a	8.236767986900347e-08	0.0	0.0	0.0	0.0	0.0
1734.5501843353063	-5.224945292864504	27.30005331342694	3008664.341977645	2187.6533116521064	-12.916374412742698	166.83272797015428	4785827.011982428	1842.353373462369	-1.4767705313165609	2.180851202164997	3394265.952708172	1905.3749416045496	1470.0345885487648	0.910255	11.264487	0.044979775317959	0.0263517011928246	-0.0156079154	-0.0020032118	-0.0754930678	-0.0913131747	-0.092219094	-0.0365433242	-0.0499917703	0.0927008508	-0.1773430819	-0.057390612	-0.0248436841	0.0783102791	0.0164318412	-0.0472701087	0.0744888696	-0.0280905782	-0.0091602408	0.0466449578	0.1558272199	-0.1732493005	0.0049638056	0.0126803147	-0.0451562491	0.2241936073	0.0690428831	0.0174907115	-0.0852287413	-0.034885583	0.071437713	-0.0949554863	0.0247654212	0.0546224721	0.0251661908	-0.1062739132	0.0196192542	0.0799184401	0.0361673701	-0.1445300628	0.0514124906	0.0479893033	-0.0509046667	0.0319975278	-0.0053126273	0.1254644827	0.0530721143	-0.0370339529	-0.0426234914	-0.0455164977	0.0831756168	-0.0561018587	0.1139147835	-0.1330870867	0.0257308163	-0.0311077601	0.1806143989	-0.139662856	0.0626944344	0.0720094323	-0.0636264397	-0.1447943135	0.0185032883	0.0038289766	0.1289999139	0.1287014744	0.1282045865	0.1275100165	-0.0182497788101585	-1.19670093570029e-06	1.4320931295059497e-12	0.0003330544266197	-0.0439402600526932	-0.0156341967962703	0.0019307464534983	0.0002444281094645	-0.0189691492764012	0.021744575030297	0.0003598286242703	0.0004728265432482	0.0001800000007846	9.500775018134004e-05	9.026472594519921e-09	3.2400000282456e-08	-2.6099999272943826e-08	5.398609755657979e-05	2.9144987293885507e-09	6.812099620476682e-16	-0.0002899999881822	-3.002288071200028e-06	9.013733662469983e-12	8.409999314567616e-08	0.0	0.0	0.0	0.0	0.0
1728.5637465174325	-5.986437817873821	35.837437747269874	2987932.6257743826	2162.5190225549645	-25.13428909714185	631.7324884187035	4676488.52291208	1835.2321180260697	-7.121255436299407	50.71227898902386	3368076.927034453	1896.9715531103725	1447.7135331964396	1.009587	12.493731	0.0838213523327285	0.0660587025668491	-0.0460119793	0.0550694458	-0.1186862306	0.0938075547	0.0358835085	-0.2002227405	-0.0423025643	0.1137262349	-0.0551880675	0.1100222305	-0.0425768277	-0.0247965394	0.1237814013	-0.0266780489	-0.0733791757	-0.1245710152	0.1987803407	0.1217003707	0.0786376778	-0.1467282431	-0.0402661433	-0.0174053814	-0.1180111489	0.0380069347	-0.1197125638	-0.0103855518	-0.0500125775	-0.1211991972	0.0391079825	-0.1155550997	0.0205514015	-0.057478605	-0.1179619008	-0.0663799904	0.2604211119	0.0507869173	0.0953167955	-0.0257463526	0.0981484789	-0.0598149904	-0.0784679458	0.0089620533	0.0241595265	0.0961861737	-0.0180075563	-0.0776184421	-0.0184447917	0.1710065319	-0.0131977068	-0.0040121709	0.1664299094	-0.2032060445	-0.005253579	0.0410790235	0.1441660413	-0.0506590578	0.0721427078	0.0433947401	-0.0212888535	0.0240285605	0.0749504228	0.024676996	0.1288230331	0.1279949812	0.1266188352	0.124700488	-0.0181827196298343	6.705918032420127e-05	4.496933665753743e-09	0.0003306112931371	-0.0625875327636151	-0.0186472727109219	0.0039171992574365	0.0003477207795554	0.0442877920532396	0.0632569413296408	0.0019614085249509	0.0040014406263816	0.0001729999913571	-7.000009427499994e-06	4.900013198508879e-11	2.9928997009556674e-08	-2.767999740527216e-08	-1.579998132328335e-09	2.496394098161028e-18	7.661822563558737e-16	-0.0003199999809934	-2.9999992811200013e-05	8.999995686720525e-10	1.0239998783577639e-07	0.0	0.0	0.0	0.0	0.0
1725.479481092718	-3.084265424714431	9.512693210088887	2977279.439671996	2163.1354069065405	0.6163843515760163	0.3799296688677861	4679154.788612724	1835.4400788301264	0.2079608040567109	0.0432476960239137	3368840.2829759405	1896.325880477197	1438.6315403874455	1.004063	12.425364	0.064658072317424	0.0465559302999163	-0.0538179321	-0.0154860081	-0.0448578793	0.2061674698	0.064946848	-0.1623522495	-0.0122983818	0.0645862922	0.005075557	0.0824563629	0.0060089337	-0.1170946074	0.07851281	-0.0682678763	0.0779697528	-0.0483534324	-0.0054727664	0.0539752392	0.0325876259	-0.0301119598	0.0289989921	0.0128298132	0.0332222323	0.1103915259	-0.1146966155	-0.0433179567	0.0652526845	-0.0995096727	-0.0025777106	-0.1315745708	0.005365316	0.0404414614	0.0434695398	0.0449016082	0.0236142075	0.0456866878	0.0143883522	-0.0258972278	-0.0148221289	-0.1645258451	-0.0726138533	0.0503413545	-0.0336517576	0.1019139182	0.0578074398	-0.0093616991	-0.0978346445	0.1401939023	0.0989280625	-0.0707409005	0.0068012041	-0.1137097082	-0.0289419707	0.1639996852	0.0743136806	-0.0404078317	0.0747717228	0.0075075444	-0.0539751974	-0.0986436002	0.0705651592	-0.046035508	0.1285578634	0.1269376627	0.1242524367	0.1205247148	-0.0146406940975793	0.0035420255322549	1.2545944871146312e-05	0.0002143499236588	-0.0181346928598316	0.0444528399037835	0.0003288670851204	0.0019760549755114	0.0442244171186558	-6.337493458379723e-05	0.0019557990694848	4.016382333500578e-09	-2.4309003340329018e-08	-0.0001730243003604	2.993740851521987e-08	5.909276434001273e-16	-0.000146000004733	-0.0001459723247355	2.130791958871392e-08	2.131600138203602e-08	-0.0003329999948334	-1.3000013839999992e-05	1.690003598401913e-10	1.1088899655904445e-07	0.0	0.0	0.0	0.0	0.0
1729.569633008222	4.090151915503839	16.72934269189972	2991411.115424196	2166.77098207216	3.635575165619685	13.217406784870596	4694896.488749954	1839.6562680072664	4.216189177139995	17.776251177432428	3384335.184418423	1900.9469371425453	1456.719890277236	0.956221	11.833312	0.1796969520407066	0.142225775636501	-0.0224595446	-0.1174769072	0.0002614233	0.1267177752	0.0785619466	-0.1001239471	0.142794858	-0.0329741922	0.0194929002	-0.015555951	0.0812781155	-0.0961179453	-0.0074143033	-0.0571847481	0.0684249351	-0.0330090034	0.1819656294	-0.0356215166	0.0298327786	0.1210465501	-0.1081271805	0.0870811362	0.0519047996	0.0268213154	-0.0044060263	0.0113186342	0.1455626112	0.0128223626	-0.1025627232	-0.0381554489	0.0941052415	0.0238343763	0.1354271079	0.1438896127	0.1630205722	-0.0298423465	-0.1064750737	0.0806665917	-0.09860575	-0.1141326404	0.0583809302	0.0557877053	-0.0966316182	0.0279428011	0.086265967	-0.0630174947	-0.0791076734	-0.0135145558	0.1325355017	0.0183903034	-0.1792723869	-0.0379532674	0.0460120275	0.1486831556	-0.0118314593	0.0923395676	0.0354838291	0.0050930554	-0.1026221612	-0.0964865124	-0.0597567866	0.0367406176	0.1282045865	0.1255324169	0.1211199807	0.1150284477	-0.0181888076289453	-0.003548113531366	1.2589109631462507e-05	0.0003308327229627	-0.0028418725333665	0.0152928203264651	8.076239495902927e-06	0.0002338703535375	-0.0987316136521769	-0.1429560307708327	0.0097479315343627	0.0204364267337512	-0.0001110000007416	-0.0001109756917382	1.2315604156785236e-08	1.2321000164635202e-08	2.4086998395844723e-08	0.0001460240917313	2.1323035365979103e-08	5.801834917214263e-16	-0.0004339999596046	-0.0001009999647712	1.0200992883783641e-08	1.8835596493679446e-07	0.0	0.0	0.0	0.0	0.0
1734.7318521099592	5.162219101737264	26.648506054341087	3009294.598724849	2178.031483005833	11.260500933672574	126.79888127724092	4743821.140964587	1842.4153368458244	2.75906883855805	7.6124608559020706	3394494.2734447126	1904.878499027043	1466.432644331431	1.015405	12.565729	0.0419017641728288	0.0282009859379514	0.0404048901	-0.1121055084	-0.0139777269	-0.0163904735	-0.0058757989	-0.0066905028	0.1127750197	-0.0719601163	0.0199255197	-0.0806167197	0.0604519779	0.0049477392	0.0459657027	0.1892978514	-0.0201731433	0.078891905	-0.0759711783	-0.1824541655	-0.0766611258	-0.0554625053	-0.0359809071	0.0067507522	0.1455272688	-0.1122329414	0.0864981866	0.04142463	0.0487983721	0.0090050739	-0.1619138694	0.0320106369	0.0420245735	-0.176075648	0.0392195458	-0.0587446891	-0.1483754505	-0.0296274375	-0.1206618837	-0.0482659653	-0.0727834484	0.0608993044	0.0474455722	0.0304108515	-0.1373166077	0.0187543165	0.0255962179	-0.1165719722	0.0791750335	-0.0284528657	0.1143630419	0.0977388364	-0.0763800512	0.0195306288	0.0167554518	0.0311714002	-0.0616369469	0.0664009058	0.002786801	-0.009337373	0.0489235263	-0.1149717121	-0.0534625351	-0.1392865114	0.1277634447	0.1237830955	0.1172407796	0.1082719048	-0.0181888067789515	8.499938010386732e-10	7.224894618041715e-19	0.000330832692042	0.0115653014646852	0.0144071739980516	0.000133756197969	0.0002075666626101	-0.1206749975681305	-0.0219433839159535	0.0145624550380683	0.0004815120976829	-0.0	0.0001110000007416	1.2321000164635202e-08	0.0	0.0	-2.4086998395844723e-08	5.801834917214263e-16	0.0	-0.000433999939168	2.0436600003427563e-11	4.1765461970009546e-22	1.883559471978277e-07	0.0	0.0	0.0	0.0	0.0
1737.288434514614	2.5565824046548187	6.536113591790615	3018171.104698238	2177.5431452570733	-0.4883377487594771	0.2384737568634742	4741694.149456068	1843.0326392132304	0.617302367405955	0.3810622128049967	3396769.3092052853	1905.5151199147672	1464.6247293963636	0.902655	11.170428	0.0612926660368941	0.0339654072827259	0.1115844718	-0.0595063958	-0.0828599442	-0.1033558871	0.0121208361	-0.0016156055	0.1026133812	-0.1504143169	0.0725055701	-0.0789131959	0.0131026102	0.1003065517	0.0068602996	0.077299128	-0.0436284689	-0.0162708981	0.040859633	0.0245902985	-0.0270652394	-0.0474372075	0.0005501274	-0.0440342233	0.0728197747	0.0099496921	0.0902543455	0.0505362959	-0.0197104037	0.0901510194	-0.1651318024	-0.0117003291	0.033994272	-0.0934216778	-0.1165287569	0.048817977	0.0045818365	0.0393863145	-0.0192304045	-0.0774303591	0.003152027	0.1257006911	0.0145804739	-0.0177982581	-0.1341863576	0.0233017186	-0.0347893786	-0.0588714075	0.0855399458	-0.0376342877	0.0851508364	0.1250192676	-0.0345883504	0.0222339864	-0.0083760831	-0.1131246815	-0.0595481012	0.0319132989	-0.1041231989	0.0690385806	0.0560483414	-0.1275877908	0.0013415524	-0.1053170998	0.1272347401	0.1216944932	0.1126387502	0.1003291122	-0.0132309665074927	0.0049578402714588	2.4580180157298664e-05	0.0001750584747223	-0.0031338110404135	-0.0146991125050987	9.820771637017543e-06	0.0002160639084375	-0.093741349864203	0.0269336477039274	0.0087874406743629	0.0007254213786392	4.1357999382385336e-08	4.1357999382385336e-08	1.7104841129133858e-15	1.7104841129133858e-15	0.0002259999999019	0.0002259999999019	5.10759999556588e-08	5.10759999556588e-08	-0.0003659999859411	6.799995322689999e-05	4.6239936388605855e-09	1.3395598970888542e-07	0.0	0.0	0.0	0.0	0.0
1737.6749421810057	0.3865076663917079	0.1493881761795638	3019514.2046837616	2175.9186393119194	-1.624505945153942	2.639019565840502	4734621.924905035	1840.4611238278217	-2.571515385408702	6.6126913773936655	3387297.1483215685	1903.210918957674	1459.9021613564016	0.943648	11.677725	0.1840175834382934	0.1273249266726487	0.1634983219	0.0523811954	-0.1063173227	0.0005868643	-0.0260675056	-0.0893470406	-0.0795880599	-0.1429556442	-0.0264608006	-0.013937014	-0.0426306035	0.0799191616	0.0265798507	0.1045246814	0.015589138	0.0549290402	-0.0202140178	0.1958613279	0.0781311238	0.0039992951	-0.0456663842	-0.1948702971	-0.1120504728	0.0493880366	0.021172041	-0.0052057854	-0.0877038729	0.0063447464	-0.1339138232	-0.0451975213	-0.0965903088	0.0686166223	-0.1389366306	-0.0570061728	0.0029388365	0.0605811442	0.1055516774	-0.086236856	0.1103412794	0.0451035912	-0.06537259	-0.0387810425	-0.1251666135	0.0327058346	-0.128500412	0.0214143068	0.0999888427	0.0518418252	0.0001531331	0.0300339138	0.112854225	-0.0345859277	-0.0448346995	-0.0807947926	0.0255804616	-0.0741600056	-0.0791406655	-0.0400508675	0.1440613808	0.0744612235	0.0240713568	-0.0325560129	0.1266188352	0.1192723348	0.1073422654	0.0912870929	-0.0181328364285775	-0.0049018699210848	2.4028328723235906e-05	0.0003287997569455	-0.0450494153028842	-0.0419156042624707	0.0020294498191317	0.001756917880688	0.028855957280399	0.122597307144602	0.0008326662705682	0.0150300997191078	0.0001840403599217	0.0001839990019223	3.385563270840904e-08	3.387085408010888e-08	0.0001859600673819	-4.003993252000001e-05	1.603196196206154e-09	3.4581146660680786e-08	-0.0004340170937015	-6.801710776039996e-05	4.626326948089861e-09	1.883708376250966e-07	0.0	0.0	0.0	0.0	0.0
1734.5995932204964	-3.075348960509245	9.457771228905296	3008835.748800712	2175.9752308613547	0.0565915494353248	0.0032026034674908	4734868.205322126	1835.0980083394493	-5.363115488372387	28.763007741619784	3367584.7002114137	1898.2865449929536	1462.9953964109595	1.123824	13.907417	0.1047114043501821	0.0888018792410845	0.1501900051	0.0351208396	0.0066043776	0.1436402384	0.0315641431	-0.02574164	-0.0614340135	-0.1569653852	0.0417557377	0.0619666278	0.0271745158	-0.0868730391	0.1298942753	0.0984439764	-0.0012751654	0.0842086943	0.078638291	0.0302036588	0.0033719607	0.2184090545	0.1626819026	-0.0858635448	-0.0182993092	0.0125986148	-0.069131724	-0.0282925193	0.0700617904	-0.1082922163	-0.1541663075	0.0902080615	-0.115603906	0.0616675612	-0.0066092369	0.092213053	0.0336201589	-0.1287435823	0.2085025806	-0.0241365884	0.0159088671	-0.0838003991	0.0310300671	-0.0626978245	-0.1447085682	-0.0876531219	-0.0757995256	0.05853924	0.0826061745	0.0071915061	0.0328981344	0.0245764808	0.0679898204	-0.0193101132	-0.0575676047	-0.0470122558	-0.0390704604	0.0580577639	-0.0593565953	-0.0117572326	0.1115069228	0.1534020036	0.1017056674	0.1673082876	0.1259161521	0.1165232592	0.1013839798	0.0812449131	-0.0221131910373202	-0.0039803546087427	1.5843222811339258e-05	0.000488993217853	-0.0449726925356088	7.672276727539729e-05	0.0020225430739024	5.886383018394772e-09	-0.0623955600622281	-0.0912515173426271	0.0038932059154791	0.0083268394173317	4.122999996177944e-08	-0.0001839991299217	3.3855679811956707e-08	1.699912896848333e-15	0.0001900000038277	4.039936445800007e-06	1.632108648610319e-11	3.6100001454526015e-08	-0.0004339999674383	1.7126263199978862e-08	2.933088911949501e-16	1.8835597173644546e-07	0.0	0.0	0.0	0.0	0.0
1731.3018161468517	-3.2977770736447383	10.875333627456854	2997405.978593387	2187.4023957123627	11.427164851008	130.58009653211272	4784729.240768184	1837.4558131058025	2.357804766353184	5.559243316237789	3376243.8651163056	1899.677205854328	1475.5399861519525	0.965902	11.953119	0.1074216289718004	0.056760972986523	0.1293962527	0.0258913402	0.1621632982	0.1036585197	-0.0331445765	0.0104171513	-0.1245590342	-0.0598795581	0.1171327552	0.029712976	-0.0080292576	-0.0534543887	-0.010761679	0.1509207093	-0.0699820919	-0.0180842095	-0.0567551686	0.0616466811	-0.073609587	0.1935430106	-0.1218852765	0.0489487488	-0.0221758744	0.0614795426	-0.0396669066	-0.0516869213	0.0308894064	-0.0645737404	0.010378489	0.1456278828	-0.2414821587	0.0353672829	0.0114765459	0.0320147675	0.0140725601	-0.0369813199	-0.1374381233	0.0332206422	-0.045404737	-0.0748735733	0.0529388133	-0.1038652403	-0.0957762106	-0.1216370998	0.0079110353	0.0782613497	0.0452311625	-0.0210830471	0.0537905883	0.0616811392	0.0571796973	0.0086538909	0.0165206236	-0.0105925875	0.0332594476	0.1066387684	0.0348700397	-0.0370268206	0.0175816928	0.1187154529	0.0996380692	0.0883116207	0.1251271724	0.1134548014	0.0948006283	0.0703125971	-0.0095812268100843	0.0125319642272359	0.0001570501273927	9.179990718627816e-05	0.0026007771936491	0.0475734697292579	6.764042011005289e-06	0.0022632350220806	-0.0780295076166766	-0.0156339475544484	0.0060886040589009	0.0002444203161352	-0.0004579205715491	-0.000457961801549	2.0972901167806226e-07	2.096912498478544e-07	0.0003655993733464	0.0001755993695187	3.0835138575364946e-08	1.3366290179128037e-07	-0.0004339161892889	8.377814940001067e-08	7.0187783168905055e-15	1.882832593270005e-07	0.0	0.0	0.0	0.0	0.0
